Progam ID,Program Type,School ID
402,NA,610012
403,Magnet High School,610271
404,Math_Science,610271
405,Technology,610271
406,Early_Childhood_Program,610271
407,Early_Childhood_Program,610274
408,Selective Enrollment,609678
409,CTE -  College and Career Academies,609678
410,NA,609805
411,NA,609865
412,CTE -  College and Career Academies,609764
413,JROTC,609764
414,CTE -  College and Career Academies,609762
415,AVID,609762
416,NA,610015
417,NA,609920
418,Selective Enrollment,610084
419,Regional_Gifted_Center,610084
420,NA,609925
421,Magnet Program,610016
422,IB Diploma,610016
423,IB Diploma,609715
424,Neighborhood,609715
425,JROTC,609716
426,Neighborhood,609716
427,IB Diploma,609718
428,Neighborhood,609718
429,Neighborhood,609746
430,IB Diploma,610019
431,NA,610022
432,Selective Enrollment,609751
433,Neighborhood,609751
434,NA,610026
435,Magnet Program,610027
436,Fine_Performing_Arts,610027
437,NA,400044
438,NA,400163
439,NA,400146
440,NA,610030
441,ECSS,609719
442,JROTC,609719
443,STEM,609719
444,Neighborhood,609720
445,NA,609869
446,NA,609993
447,NA,610033
448,Magnet High School,610520
449,World_Language,610520
450,Early_Childhood_Program,610520
451,Early_Childhood_Program,610208
452,NA,610034
453,NA,400107
454,NA,400151
455,NA,400046
456,NA,400047
457,NA,400048
458,NA,400111
459,NA,400165
460,Early_Childhood_Program,610291
461,NA,400049
462,NA,400119
463,Magnet Program,610305
464,Math_Science,610305
465,Technology,610305
466,Childrens_Engineering,610305
467,World_Language,610305
468,Early_Childhood_Program,610305
469,STEM,610305
470,Selective Enrollment,610298
471,Regional_Gifted_Center,610298
472,Early_Childhood_Program,610298
473,NA,610036
474,NA,610037
475,Selective Enrollment,610038
476,International_Gifted,610038
477,IB_Wall_to_Wall,609738
478,JROTC,609738
479,Neighborhood,610391
480,NA,400137
481,NA,609834
482,NA,610040
483,NA,400011
484,IB Diploma,610041
485,Early_Childhood_Program,610325
486,Early_Childhood_Program,610541
487,NA,610043
488,NA,610044
489,NA,610029
490,NA,
491,NA,610046
492,IB Diploma,610215
493,NA,610047
494,Neighborhood,610574
495,NA,610048
496,CTE -  College and Career Academies,609722
497,JROTC,609722
498,NA,610052
499,Military,610502
500,IB Diploma,610053
501,IB Diploma,610054
502,CTE -  College and Career Academies,609723
503,JROTC,609723
504,NA,610321
505,NA,610056
506,CTE -  College and Career Academies,609724
507,AVID,609724
508,IB Diploma,610059
509,Comprehensive_Gifted_Program,610290
510,Early_Childhood_Program,610290
511,NA,609968
512,NA,610062
513,NA,610063
514,Early_Childhood_Program,610269
515,Selective Enrollment,610066
516,Classical,610066
517,Specific_Aptitude,610312
518,Early_Childhood_Program,610312
519,NA,610067
520,Early_Childhood_Program,610282
521,IB Diploma,610070
522,Early_Childhood_Program,610293
523,STEM,610293
524,NA,609902
525,Magnet Program,610171
526,World_Language,610171
527,Early_Childhood_Program,610171
528,NA,610073
529,Magnet Program,610276
530,IB Diploma,610276
531,Early_Childhood_Program,610276
532,NA,610074
533,NA,610075
534,NA,400116
535,NA,610076
536,IB Diploma,609725
537,NA,610077
538,Early_Childhood_Program,610257
539,NA,610082
540,NA,610086
541,NA,610088
542,Neighborhood,610385
543,NA,610089
544,Magnet High School,610090
545,World_Language,610090
546,NA,400050
547,NA,610092
548,Selective Enrollment,610231
549,Regional_Gifted_Center,610231
550,Early_Childhood_Program,610231
551,Early_Childhood_Program,610093
552,NA,610094
553,Comprehensive_Gifted_Program,610284
554,Early_Childhood_Program,610284
555,Magnet Program,610193
556,Fine_Performing_Arts,610193
557,Early_Childhood_Program,610193
558,NA,610095
559,STEM,609793
560,NA,610096
561,NA,610097
562,NA,400045
563,NA,610098
564,NA,400157
565,NA,400097
566,NA,400052
567,NA,400053
568,NA,400106
569,NA,400098
570,NA,400051
571,NA,400054
572,NA,400156
573,NA,400118
574,NA,400055
575,NA,400056
576,NA,400117
577,NA,400057
578,Early_Childhood_Program,610354
579,Neighborhood,609691
580,Neighborhood,609744
581,Selective Enrollment,609749
582,Neighborhood,609749
583,NA,610051
584,NA,610099
585,NA,400058
586,NA,400059
587,NA,610103
588,NA,610108
589,IB Diploma,610101
590,Selective Enrollment,610529
591,International_Gifted,610529
592,IB Diploma,610529
593,NA,610102
594,Neighborhood,610569
595,Neighborhood,610570
596,Neighborhood,610571
597,NA,610104
598,NA,610105
599,Magnet Program,610329
600,Selective Enrollment,610329
601,ELL_Regional_Gifted_Center,610329
602,Fine_Performing_Arts,610329
603,Early_Childhood_Program,610329
604,Neighborhood,610389
605,NA,609950
606,NA,610107
607,Magnet High School,610109
608,Scholastic_Academy,610109
609,NA,610111
610,NA,610115
611,NA,610112
612,NA,610116
613,NA,610117
614,Neighborhood,610557
615,Neighborhood,610568
616,Selective Enrollment,609680
617,Neighborhood,610386
618,NA,610120
619,IB Diploma,610122
620,NA,610123
621,NA,609872
622,NA,610126
623,NA,400062
624,NA,400066
625,NA,400064
626,NA,400061
627,NA,610127
628,AVID,609727
629,JROTC,609727
630,Military,610304
631,NA,610106
632,NA,610129
633,NA,610013
634,NA,610130
635,NA,610131
636,NA,400068
637,Selective Enrollment,610132
638,Classical,610132
639,NA,400069
640,NA,610135
641,NA,610281
642,NA,610136
643,Early_Childhood_Program,610533
644,Magnet Program,610229
645,Selective Enrollment,610229
646,Regional_Gifted_Center,610229
647,Fine_Performing_Arts,610229
648,Early_Childhood_Program,610229
649,NA,400070
650,NA,400109
651,IB Diploma,609679
652,CTE -  College and Career Academies,609679
653,JROTC,609679
654,NA,400071
655,NA,610137
656,IB Diploma,610138
657,NA,610139
658,CTE -  College and Career Academies,610334
659,NA,609941
660,NA,610141
661,NA,610142
662,NA,610143
663,NA,610144
664,NA,610145
665,NA,610146
666,CTE -  College and Career Academies,609682
667,Military,610390
668,AVID,609707
669,Early_Childhood_Program,610256
670,NA,610147
671,CTE -  College and Career Academies,609728
672,AVID,609728
673,JROTC,609728
674,NA,400096
675,Early_Childhood_Program,610308
676,NA,610152
677,NA,610125
678,NA,610153
679,Magnet High School,610342
680,World_Language,610342
681,Early_Childhood_Program,610250
682,Early_Childhood_Program,610226
683,NA,610017
684,NA,610155
685,NA,610157
686,NA,610158
687,NA,610159
688,NA,610178
689,Neighborhood,610297
690,NA,610165
691,IB Diploma,609729
692,CTE -  College and Career Academies,609729
693,AVID,609729
694,JROTC,609729
695,Magnet Program,609730
696,Fine and Performing Arts,609730
697,IB_Wall_to_Wall,609730
698,JROTC,609730
699,NA,610167
700,NA,400073
701,NA,400072
702,NA,400074
703,Magnet High School,610081
704,Math_Science,610081
705,Specific_Aptitude,610081
706,NA,610172
707,NA,610173
708,NA,610174
709,NA,610559
710,NA,610175
711,NA,610176
712,CTE -  College and Career Academies,609692
713,JROTC,609692
714,Neighborhood,609750
715,Classical,610177
716,Selective Enrollment,610534
717,Classical,610534
718,NA,609978
719,NA,610179
720,IB Diploma,610180
721,NA,610182
722,Neighborhood,610543
723,NA,609990
724,Selective Enrollment,610547
725,IB Diploma,610547
726,CTE -  College and Career Academies,610547
727,JROTC,610547
728,Early_Childhood_Program,610530
729,Neighborhood,609745
730,NA,610183
731,NA,610184
732,Neighborhood,610357
733,Early_Childhood_Program,610339
734,IB Diploma,609732
735,AVID,609732
736,JROTC,609732
737,Neighborhood,609732
738,Magnet High School,610548
739,Childrens_Engineering,610548
740,Math_Science,610548
741,Technology,610548
742,NA,610185
743,NA,610163
744,Magnet High School,610191
745,Scholastic_Academy,610191
746,Specific_Aptitude,610191
747,NA,610192
748,Magnet High School,610405
749,Montessori,610405
750,Early_Childhood_Program,610405
751,CTE -  College and Career Academies,609733
752,JROTC,609733
753,NA,610194
754,Magnet Program,610195
755,IB Diploma,610195
756,NA,610196
757,IB_Wall_to_Wall,609734
758,NA,610197
759,Early_Childhood_Program,610249
760,Early_Childhood_Program,610279
761,Early_Childhood_Program,610396
762,NA,610198
763,JROTC,610506
764,Magnet Program,609921
765,World_Language,609921
766,Early_Childhood_Program,609921
767,Early_Childhood_Program,610504
768,NA,610200
769,Magnet High School,610201
770,Comprehensive_Gifted_Program,610201
771,Scholastic_Academy,610201
772,JROTC,609735
773,Neighborhood,609735
774,NA,610065
775,STEM,610202
776,NA,610203
777,Magnet High School,609895
778,World_Language,609895
779,NA,610206
780,NA,400075
781,NA,400076
782,NA,400077
783,NA,400078
784,NA,400101
785,NA,400112
786,NA,400081
787,NA,400082
788,NA,400153
789,NA,400085
790,NA,400089
791,NA,400120
792,NA,400121
793,NA,400083
794,NA,400080
795,NA,400149
796,NA,400079
797,NA,400114
798,NA,400084
799,Neighborhood,610394
800,NA,400105
801,NA,400086
802,NA,400102
803,Magnet High School,610207
804,Fine_Performing_Arts,610207
805,Humanities,610207
806,Neighborhood,609766
807,NA,609871
808,AVID,610518
809,NA,610209
810,NA,610039
811,Magnet High School,609737
812,Early_Childhood_Program,610366
813,STEM,610213
814,NA,610216
815,NA,610217
816,STEM,610133
817,NA,610218
818,IB Diploma,609739
819,CTE -  College and Career Academies,609739
820,NA,610219
821,NA,610124
822,NA,610220
823,NA,610221
824,CTE -  College and Career Academies,609740
825,AVID,609740
826,JROTC,609740
827,IB Diploma,610110
828,STEM,610223
829,NA,610100
830,Early_Childhood_Program,610542
831,Comprehensive_Gifted_Program,610300
832,Early_Childhood_Program,610300
833,Selective Enrollment,609693
834,CTE -  College and Career Academies,609693
835,JROTC,609693
836,NA,610225
837,Early_Childhood_Program,610315
838,NA,610227
839,NA,610228
840,Magnet High School,610230
841,IB Diploma,610230
842,CTE -  College and Career Academies,610380
843,AVID,610380
844,NA,609977
845,Early_Childhood_Program,610345
846,Neighborhood,610392
847,NA,610234
848,NA,400134
849,NA,400125
850,NA,400126
851,NA,400127
852,NA,400131
853,NA,400128
854,NA,400150
855,NA,400145
856,NA,400123
857,NA,400129
858,NA,400133
859,NA,400135
860,NA,400124
861,NA,400136
862,NA,400139
863,NA,400141
864,NA,400142
865,NA,400143
866,NA,400144
867,NA,400130
868,NA,400087
869,Neighborhood,609748
870,NA,610235
871,Neighborhood,609755
872,NA,609973
