SchoolID,SchoolName,FullName,SchoolName2,ISBE Name,Street Number,Street Direction,Street Name,City,State,ZIP,NCES ID,CPS Unit,ISBE ID,OracleID,Class,School Type,S_Type,School Category,Governance,Charter Type,Grade Structure,Attending Grades,ProgramTypes,Ward,Community Area Number,Community Area,IL Senate District,IL Rep District,US Congressional District,GeographicArea,Geographic Area Number,Cook County District,Census Block,Latitude,Longitude,Location
610499,Collins,Collins Academy High School,Collins,Collins Academy High School,1313,S,Sacramento Dr,Chicago,IL,60623,170993099995,1045,150162990250841,49131,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,NA||,24,29,North Lawndale,5,9,7,North Lawndale,19,2,170318431001005,41.9413882507,-87.6907246464,"(41.9413882507, -87.6907246464)"
400038,Community Services West,Community Services West Academy,Community Services West,Community Services West High Sch,1239,S,Pulaski Rd,Chicago,IL,60623,170993005977,1225,150162990250846,63061,Option,Contract,Alternative/Contract,HS,Contract,0,HS,11th-12th,NA||,24,29,North Lawndale,5,9,7,North Lawndale,19,2,170318387003008,41.8649516199,-87.725058722,"(41.8649516198999, -87.725058722)"
609761,Corliss,George H Corliss High School,Corliss,Corliss High School,821,E,103rd St,Chicago,IL,60628,170993001072,1860,150162990250543,46391,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,ECSS||JROTC||STEM||,9,50,Pullman,17,34,2,Far South Side,22,4,170315002001003,41.902625308,-87.6869428735,"(41.9026253079999, -87.6869428735)"
609702,Crane,Richard T Crane Technical Preparatory,Crane,Crane Technical Prep High School,2245,W,Jackson Blvd,Chicago,IL,60612,170993000717,1270,150162990250008,46081,CPS,Regular,"District, non-alternative",HS,District,,HS,11th-12th,NA||,2,28,Near West Side,5,9,7,Near West,23,2,170318380001026,41.9750679336,-87.6794474519,"(41.9750679336, -87.6794474519)"
610561,Crane Medical Prep,Richard T Crane Medical Preparatory,Crane Medical Prep,,2245,W,Jackson Blvd,Chicago,IL,60612,,9621,,46641,CPS,Regular,"District, non-alternative",HS,District,,HS,9th,Magnet||Medical||,2,28,Near West Side,5,9,7,Near West,23,2,170318380001026,41.7537492042,-87.707381987,"(41.7537492041999, -87.707381987)"
609756,Curie,Marie Sklodowska Curie Metropolitan High School,Curie,Curie Metropolitan High School,4959,S,Archer Ave,Chicago,IL,60632,170993001198,1820,150162990250617,53101,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,Magnet||IB||CTE_CCA||JROTC||,14,57,Archer Heights,1,1,4,McKinley Park,17,7,170315704002002,41.8305544189,-87.6192522267,"(41.8305544189, -87.6192522266999)"
610402,Devry,DeVry University Advantage Academy,Devry,Devry Advantage Academy High Schl,3300,N,Campbell,Chicago,IL,60618,170993005790,6990,150162990250832,46521,CPS,Regular,"District, non-alternative",HS,District,,HS,11th-12th,NA||,47,5,North Center,6,11,5,Logan,9,12,170318437001021,41.9655200272,-87.6524725414,"(41.9655200272, -87.6524725414)"
,Disney Ii,Disney II Magnet High School,Disney Ii,,3900,N,Lawndale Ave,Chicago,IL,60618,,9626,,26921,CPS,Regular,"District, non-alternative",HS,District,,HS,"7th, 9th",NA||,39,16,Irving Park,20,40,4,Albany Irving,27,8,170311609001005,41.7526966442,-87.5508909663,"(41.7526966442, -87.5508909663)"
610245,Douglass,Frederick A Douglass Academy High School,Douglass,Douglass Academy High School,543,N,Waller Ave,Chicago,IL,60644,170993005789,6630,150162990250831,41061,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,JROTC||,29,25,Austin,39,78,7,Austin,25,1,170312514002006,41.9599836094,-87.6497859233,"(41.9599836093999, -87.6497859233)"
609676,Dunbar,Paul Laurence Dunbar Career Academy High School,Dunbar,Dunbar Vocational Career Acad,3000,S,King Dr,Chicago,IL,60616,170993000588,1030,150162990250531,53021,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,CTE_CCA||JROTC||,2,35,Douglas,3,5,1,Bronzeville,15,3,170318392001005,41.8875163595,-87.702165851,"(41.8875163594999, -87.702165851)"
609736,Dyett,Dyett High School,Dyett,Dyett High School,555,E,51st St,Chicago,IL,60615,170993004265,1600,150162990250798,66021,CPS,Regular,"District, non-alternative",HS,District,,HS,11th-12th,NA||,4,40,Washington Park,13,26,1,Bronzeville,15,3,170318361003000,41.9829335474,-87.7915467721,"(41.9829335474, -87.7915467721)"
400094,Epic ,EPIC Academy High School,Epic Chtr,EPIC Academy High School,8255,S,Houston Ave,Chicago,IL,60617,170993006088,8058,15016299025015C,63081,CPS,Charter,Charter,HS,Charter,Non-replicating  Charters,HS,9th-12th,NA||,7,46,South Chicago,13,25,2,South Shore,11,4,170314601004005,41.7448481837,-87.5502589914,"(41.7448481837, -87.5502589914)"
609704,Farragut,David G Farragut Career Academy High School,Farragut,Farragut Career Academy,2345,S,Christiana Ave,Chicago,IL,60623,170993000788,1300,150162990250011,53091,CPS,Regular,"District, non-alternative",HS,District,,HS,"PK, 9th-12th",IB||,22,30,South Lawndale,11,21,4,Pilsen - Little Village,16,7,170313008001019,41.7494030472,-87.7210981622,"(41.7494030471999, -87.7210981621999)"
609705,Fenger,Christian Fenger Academy High School,Fenger,Fenger Academy High School,11220,S,Wallace St,Chicago,IL,60628,170993000792,1310,150162990250012,46111,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,CTE_CCA||JROTC||,34,49,Roseland,14,28,2,Far South Side,22,5,170314912003013,41.8775287339,-87.6832489542,"(41.8775287339, -87.6832489541999)"
400042,Ford ,Henry Ford Academy Power House Charter,Ford Chtr,Ford Power House Charter,931,S,Homan Ave,Chicago,IL,60624,170993005978,1165,15016299025011C,67091,CPS,Charter,Charter,HS,Charter,Non-replicating  Charters,HS,11th-12th,NA||,24,29,North Lawndale,5,9,7,North Lawndale,19,2,170318430001001,41.8693119927,-87.7105633272,"(41.8693119926999, -87.7105633272)"
